,Teks,clean_teks
102,@oOdis___ @ohmybeautybank Kak mau tanya setelah exfo pke avoskin boleh ga kalo moisnya pake originote yg hijau? https://t.co/FEXXMX4UBZ,kak exfo pake avoskin ga moisnya pakai originote hijau
103,-selldips! abisin stok yu guyss. micellar water originote sama facetology masing2 sisa 1pcs. only 45k/pcs ajaaaaa yu yg mau reppp https://t.co/ELnwtCmIy2,selldips abisin stok yu guyss micellar water originote facetology sisa pcs kpcs yu balas
104,ngapus maskara bnb pake apaa yaa?? pake micellar water originote gabisaa masaa ,ngapus maskara bnb pakai apaa yaa pakai micellar water originote gabisaa masaa
105,@ohmybeautybank originote sih https://t.co/feEbsjU6nP,originote
106,Wts semuanya msii pda penuh penuh krna bru dipakai beberapa kalii dan msi pda bersih yaa kecuali yg ss the originote packaging nya aj yg uda agak buluk #prelovedskincare #prelovedskintific #wtstheoriginote #wtshadalabo https://t.co/TcLgTf9x6I,msii pda penuh penuh krna pakai kali msi pda bersih yaa kecuali originote packaging uda jelek prelovedskincare prelovedskintific wtstheoriginote wtshadalabo
107,@lullwabies Ak sekarang pake ini tapi tetiba mau nyoba yg originote,pakai coba originote
108,Cek The Originote Day-C Night-A Bundle 2pcs - Hyalu-C Serum dan Retinol Serum dengan harga Rp75.000. Dapatkan di Shopee sekarang! https://t.co/sNatFXp8h7 #ShopeeID https://t.co/0ffGo4F0dY,cek originote dayc nighta bundle pcs hyaluc serum retinol serum harga rp dapat shopee shopeeid
109,THE ORIGINOTE TERLIHAT MENJANJIKAN AJHH BESOK ABIS KEBARAN BELI DEH,originote janji ajhh besok habis bar beli
110,@jahedikupas dari ekspedisi apa pengemasan? aku juga mau co the originote,ekspedisi emas checkout originote
111,@mldyarhmaaa Originote moiz nya masih ada gaa kak,originote moiz ga kak
112,@unnesmenfess Originote nya masih ga nder?,originote ga nder
113,@formyluvy Katanya sih ada yang pake originote itu,pakai originote
114,@2ndmelati titip ini ka https://t.co/O3V24iSoVi,titip kakak
115,@cryingbubbies ka klo boleh tau km pake cushion the originote yg shade apa,kakak pakai cushion originote shade
116,The originote Flash sale jadi harga under 20k Klaim juga voucher toko Bisa digabung dengan diskon live Urutkan dari harga terendah atau cek halaman flash sale toko : https://t.co/e3lU0h6Fii,originote flash sale harga under klaim voucher toko gabung diskon live urut harga rendah cek halaman flash sale toko
117,@ohmybeautybank ysb avoskinn terus ssnya originote,ysb avoskinn ssnya originote
118,sumpah gue BUTUH BANGET lip serum originote ada di sociolla YA ALLAHHH,sumpah butuh banget lip serum originote sociolla iya allahh
119,@unnesmenfess originote masih ga kak,originote ga kak
120,@chogeumgyu gapunya link livenya,gapunya link livenya
121,@JUALAN_AUTOBASE ada originote sama sea makeup. ada juga yang belum masuk facetology acne calm tapi damage pengiriman rembes dikit (sekarang udah kering&amp;ga bocor lagi) kalau mau 40k aja https://t.co/BTIDKQrnEy,originote sea makeup masuk facetology acne calm damage kirim rembes kering sampe ga bocor
122,@ohmybeautybank Originote suka bangett https://t.co/tX5zvR5zew,originote suka banget
123,wts harga before cb/diskon⤵️ facetology triplecare sunscreen ss 66k tangerang bisa pakai live 10% / disk shopee video https://t.co/qMvKHsUZco #wts #wtb #zonajajan #zonauang️ https://t.co/GzGcVIi0nL,harga before cbdiskon facetology triplecare sunscreen tangerang pakai live disk shopee video wtb
124,@sh4f1y4h bukan originote itu itu true to skin yg txa,originote true to skin txa
125,@shawnacoustics Penasaran bgt sama eye serum originote,penasaran banget eye serum originote
126,@convomf Moisturizer sama lip serum originote. Dapet setengah harga hihi‍️‍️‍️,moisturizer lip serum originote harga hihi
127,@JUALAN_AUTOBASE halo aku ada serum originote exfo 20k aja~ gratong,halo serum originote exfo gratong
128,Masker nih bang buat ngilangin komedo dan mencerahkan kulit wajah. Masker murah aja nih bang https://t.co/lrvA4jCcoI,masker bang ngilangin komedo cerah kulit wajah masker murah bang
129,@i_m_mortal_ vc ini ada kak? BRS hari ini gaada soalnya kann...,kak brs uang kann
130,Izin wts cushion originote Dijual karena salah shade yang mau bisa DM aja ya️ https://t.co/F0UyUm2Idv,izin cushion originote jual salah shade iya
131,@discountfess info kreator golden tick skincare atau make up brand implora originote gtu2 dongg plss,informasi kreator golden tick skincare pakai up brand implora originote gtu dongg plss
132,@ohmybeautybank Bukan aff ya tapi dulu kusem bgt. skincare apa aja skrg yg aku pake mari aku spill! St : oily acne prone Fw : somethinc low ph Micellar water : nivea/garnier biru Toner : skin1004 hyalura cica Ss : skin1004 hyalura cica Moist : originote/cosrx Exfo : avoskin Retinol : originote https://t.co/2vjLeRv6sM,aff iya kusem banget skincare pakai mari tunjuk st oily acne prone somethinc ph micellar water niveagarnier biru toner skin hyalura cica skin hyalura cica moist originotecosrx exfo avoskin retinol originote
133,Yang baru mau nyobain retinol plis kalian bisa coba dulu yang tipis tipis ini biar kulit kalian tetep aman cyyyn. Moisturizer dan Serum dari originote ini bisa jadi alternatif kalian gengss.. Yang udah keliatan garis garis halus kusem dan ngerasa lebih tua (next),coba retinol plis coba tipis tipis kulit aman cyyn moisturizer serum originote alternatif gengss garis garis halus kusem ngerasa tua
134,@_racikanrayya_ Mw ikutan deh hehe https://t.co/64aqhK38aH,now watching ikut
135,@ohmybeautybank Aku pke originote bagus tapi rontok,pake originote bagus rontok
136,@i_m_mortal_ kena m04 mending co yang pasti2 ajaa wkwkwk https://t.co/WKvgSRiFMZ,kena m checkout wkwkwk
137,nyobain topokki nya mujigae... dan aku kureng suka menurutku toeknya keras dan bumbunya terlalu berat di lidahku. pernah nyobain merk mamasuka dan enak bgtbgtbgtt... trus ini snack nya wonhae juga gak oke dah intinya mah gw mau makan dine in di mujigae / kemasan gak cocok. https://t.co/e9jVQu2yCZ,coba topokki mujigae reng suka turut toeknya keras bumbu berat lidah coba merk mamasuka enak bgtbgtbgtt snack wonhae oke inti mah makan dine in mujigae kemas sesuai
138,The Originote BHA Charcoal Clay Mask - Masker Wajah Mud Mask Eksfoliasi Mengangkat Sel Kulit Mati Menghilangkan Minyak Berlebih with Charcoal BHAhttps://shope.ee/9KIEnJ56FV,originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak lebih with charcoal bha
139,5. Moisturizer !! I use The Originote Hyalucera Moisturizer. BEST SEJUK GILAA pagi pagi tu segar teruss kalau korang letak dalam mini fridge ke segar terus! https://t.co/RW4Yji1KpX,moisturizer originote hyalucera moisturizer best sejuk gilaa pagi pagi tu segar teruss korang letak mini fridge segar
140,segentong gini harganya cuma 40ribuan! murah banget gak sih padahal 300ml loh kayaknya bakalan awet sampe 3 bulanan deh? cus beli di sini kalo lagi live malah bisa lebih murah lagi ⤵️ https://t.co/L3SQEWczEI,gentong gin harga ribu murah banget kayak awet bulan cus beli live murah
141,@katensultan Gue kira dia pke originote yg sepaket 100rb gagal ngikutin deh,pake originote paket gagal ngikutin
142,@shawnacoustics dari awal kepo banget sama ceratinol moist nya the originote,urus orang banget ceratinol moist originote
143,@h0neymilktea_ Kalo diantara originote sama instaperfect untuk sehari-hari bagusan yg mana kak?,originote instaperfect seharihari bagus kak
144,aneh bet anjir.... kenapa gak masuk langsung 1.5jt pake segala minus admin 1.5k masuk lagi 1.5k KWKWKW https://t.co/uK6C1c2RFy,aneh banget anjing masuk langsung jt pakai minus admin masuk kwkwkw
145,@luna9yu cushion originote sgt full coverage kakk tdk disarankan kalo mau yg ringan ringan ajahh,cushion originote full coverage kakk saran ringan ringan ajahh
146,@xiaosyauu Ohh iya iya aku pake originote bii,ohh iya iya pakai originote bii
147,@jungwoni_ halo ka kamu udh berhasil dapet tiket belumm?,halo kakak udah hasil tiket belumm
148,@ohmybeautybank Ceratinol dari the originote kak bikin mulus gitu kulit aku nyaa,ceratinol originote kak mulus gitu kulit nyaa
149,@northaerglo Mbb kak reply nya gamasuk soalnya masih kak,mbb kak reply gamasuk kak
150,@achaaci_ Baru tau originote ada clay stick mask,originote clay stick mask
151,@supal0nelYy_ ANJINK DEMI APAAAAAAAAA UDH 3 JAM?!?,anjing apaa udah jam
152,full_text,full text
153,sekarang aku lagi pakai micellar waternya originote yg BESAR BGTTTT ini selalu aku pake walopun ga kemana2 tapi double cleansing itu WAJIB https://t.co/eE6oerujqX,pakai micellar waternya originote banget pakai walopun ga mana double cleansing wajib
154,@ohmybeautybank Kulitku berminyak berjerawat pakai moisturizer the originote ini nder udh aku repurchase ampe punya 4 jar. Teksturnya enak bgt untuk kulit berminyak bikin lembab tp gk berat di kulit. Adem bgt efeknya dia bisa ngurangin redness di aku dan gk bikin beruntusan. Harganya juga https://t.co/5Brd2s0Nqx,kulit minyak jerawat pakai moisturizer originote nder udah beli ampe jar tekstur enak banget kulit minyak lembab gk berat kulit adem banget efek ngurangin redness gk beruntus harga
155,karena double cleansing tuh tiap hari jd sekalian cari yg ukuran gentong dan harganya murce makannya aku pilih micellar ini !!! the originote hyalurose micellar water https://t.co/FP3kCrrSpu,double cleansing cari ukur gentong harga murce makan pilih micellar originote hyalurose micellar water
156,Produk andalan aku kalau double cleansing the originote hyalurose micellar water + facial washnya! Ini andalan banget sih krn harganya affordable &amp; isinya banyak bgt! #racuninskincare : https://t.co/w8wgE0pzgo https://t.co/DvJS5z4P9f,produk andal double cleansing originote hyalurose micellar water facial washnya andal banget harga affordable isi banget racuninskincare
157,qrt this with your.. fw: kojie san micellar: - toner: - moist: the originote serum: - ss: npure exfo: - lip care: vaseline lip care (rosy lips) kangen deh skincarean yg banyak bgt kyk dulu :((,qrt this with your kojie san micellar toner moist originote serum npure exfo lip care vaseline lip care rosy lips kangen skincarean banget
158,Aku suka tipe pake first cleansing dgn micellar water yang ringan &amp; tetap lembab dikulit . Daya angkatnya oke Ini aku pake Micellar Hyalurose The Originote Puas banget pakeknya . Ukurannya super jumbo dan lembab serta bersih di pori2 kulit https://t.co/MyrHf7ZXLp https://t.co/MUYmdTO2IQ,suka tipe pakai cleansing micellar water ringan lembab kulit daya angkat oke pakai micellar hyalurose originote puas banget pakeknya ukur super jumbo lembab bersih pori kulit
