,Teks,Normalisasi_Teks,KBBI_Teks,Normal_Teks,Stopword_Removed_Teks,Clean,clean_teks
20,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote <norm> bgt ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan
21,Sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener2 nyiksa bgtttt,sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener nyiksa bgtt,sunscreen spraynya originote <norm> bgt <norm> <norm> anj <norm> <norm> <norm> <norm> <norm> <norm> <norm> <norm> td lg <norm> bener nyiksa bgtt,sunscreen spraynya originote perih banget di mata anj seharian mata w berair karena perih apalagi pas tadi lagi kelas benar nyiksa bgtt,sunscreen spraynya originote perih banget mata anj seharian mata w berair perih pas kelas nyiksa bgtt,sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener nyiksa bgtt,sunscreen spraynya originote perih banget mata anj hari mata w air perih pas kelas nyiksa bgtt
22,Mayan sekale pas bgt stock abis hehe tadi fs jam 12 keknya masih fs the originote df https://t.co/WWmOozG41K,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,mayan sekale <norm> bgt stock <norm> hehe <norm> fs <norm> keknya <norm> fs the originote df,mayan sekale pas banget stock habis he tadi fs jam kayaknya masih fs the originote df,mayan sekale pas banget stock habis he fs jam kayaknya fs the originote df,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,mayan sekale pas banget stock habis he fs jam kayak fs the originote df
23,Ngiler cushion originote wkwk,ngiler cushion originote wkwk,<norm> cushion originote wkwk,mau cushion originote wkwk,cushion originote wkwk,ngiler cushion originote wkwk,cushion originote wkwk
24,selasa 19 maret 2024 1 paket shopee + 1 reseller alhamdulillah https://t.co/tLA1w4Sjqn,selasa maret paket shopee reseller alhamdulillah,<norm> <norm> <norm> shopee reseller <norm>,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah
25,shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote <norm> bgt <norm> first impression,shocked banget cushion the originote bagus banget untuk first impression,shocked banget cushion the originote bagus banget first impression,shocked bgt cushion the originote bagus bgt untuk first impression,shocked banget cushion the originote bagus banget first impression
26,gais kalian kalau yg mau beli originote di jangan di toko BeautyBestieYou itu KW gaiss di produknya emg review 5 semua tapi tenyata yang 1 tuh di hide https://t.co/o1EPmQKq5q,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais <norm> <norm> <norm> <norm> <norm> originote <norm> <norm> <norm> <norm> beautybestieyou <norm> <norm> gaiss <norm> produknya emg review <norm> <norm> tenyata <norm> <norm> <norm> hide,gais kalian kalau yang mau beli originote di jangan di toko beautybestieyou itu imitasi gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais beli originote toko beautybestieyou imitasi gaiss produknya emg review tenyata tuh hide,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais beli originote toko beautybestieyou imitasi gaiss produk emg review tenyata tuh hide
27,pengen pindah mois ke originote brightening gi bokek abiss:((,pengen pindah mois ke originote brightening gi bokek abiss,pengen <norm> mois <norm> originote brightening <norm> <norm> abiss,pengen pindah mois ke originote brightening gi bokek abiss,pengen pindah mois originote brightening gi bokek abiss,pengen pindah mois ke originote brightening gi bokek abiss,ken pindah mois originote brightening gi bokek abiss
28,Jual cushion the originote shade medium neutral. Baru banget beli. Baru nyoba tapi kegelapan ga ketolong banget. 80rb aja #theoriginote #cushion #jualcushion https://t.co/6OLreE0cRs,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb aja theoriginote cushion jualcushion,<norm> cushion the originote shade <norm> neutral <norm> <norm> <norm> <norm> nyoba <norm> <norm> <norm> ketolong <norm> rb <norm> theoriginote cushion jualcushion,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb saja theoriginote cushion jualcushion,jual cushion the originote shade medium neutral banget beli nyoba kegelapan ga ketolong banget rb theoriginote cushion jualcushion,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb aja theoriginote cushion jualcushion,jual cushion the originote shade medium neutral banget beli nyoba gelap ga tolong banget rb theoriginote cushion jualcushion
29,The originote atau skintific CUUUYYYYY ,the originote atau skintific cuuyy,the originote <norm> skintific cuuyy,the originote atau skintific cuuyy,the originote skintific cuuyy,the originote atau skintific cuuyy,the originote skintific cuuyy
