,Teks,stop_word
59,@JUALAN_AUTOBASE bisa sopi !!! The Originote 32k ajaaaa https://t.co/YmlUYc09bi,@JUALAN_AUTOBASE sopi !!! The Originote 32k ajaaaa https://t.co/YmlUYc09bi
60,@jisooh_1 km pke originote yg apa,@jisooh_1 km pke originote
61,@discountfess Cek originote lg ultah dia https://t.co/HqMPgB8Il1,@discountfess Cek originote lg ultah https://t.co/HqMPgB8Il1
62,@yawisbaehan @i_m_mortal_ gede banget lazrewardnya 23.200 aku cuma 4.600 ada yg punya tips biar bisa naik rewardnya? wkwkwk https://t.co/cIEJYr2YzK,@yawisbaehan @i_m_mortal_ gede banget lazrewardnya 23.200 4.600 tips rewardnya? https://t.co/cIEJYr2YzK
63,@unnesmenfess bisa sopi!!! The Originote 32k ajaaa https://t.co/6PkFEA2GNq,@unnesmenfess sopi!!! The Originote 32k ajaaa https://t.co/6PkFEA2GNq
64,@desevrts aku pakai lip oil dari Originote!,@desevrts pakai lip oil Originote!
65,@undipmenfess bisa sopi!!! The Originote 32k ajaaa https://t.co/YDp7cwoob4,@undipmenfess sopi!!! The Originote 32k ajaaa https://t.co/YDp7cwoob4
66,@undipmenfess bisa sopi!!! The Originote 32k ajaaa https://t.co/CwoXomIeOz,@undipmenfess sopi!!! The Originote 32k ajaaa https://t.co/CwoXomIeOz
67,maaf originote tapi sunscreenmu bikin perih di mata yang sampe berair banget,maaf originote sunscreenmu perih mata sampe berair banget
68,@undipmenfess bisa sopi!!! The Originote 32k ajaaa https://t.co/81cMvvSFnX,@undipmenfess sopi!!! The Originote 32k ajaaa https://t.co/81cMvvSFnX
69,cushion the originote ada di offline store gasihhh mau beli online takut salah shade ,cushion originote offline store gasihhh beli online takut salah shade
70,The Originote Hyalu-C Serum lagi diskon dri harga Rp. 64.000 jadi Rp.38.000 https://t.co/oaiOQcbGnD,The Originote Hyalu-C Serum diskon dri harga Rp. 64.000 Rp.38.000 https://t.co/oaiOQcbGnD
71,list belanjaan skincare - mw originote - senka facewash white clay - moist ungu lupa apa namanya - facetology akan kupancarkan wajah bercahaya dan mempesona di hari lebaran itu,list belanjaan skincare - mw originote - senka facewash white clay - moist ungu lupa namanya - facetology kupancarkan wajah bercahaya mempesona lebaran
72,knp originote suka infused niacinamide siii ke makeup2 nya kan ak jg pgn nyobain cushionny,knp originote suka infused niacinamide siii makeup2 ak jg pgn nyobain cushionny
73,retinolnya the originote ini udah all in 1 udah ada kandungan niacinamidenya juga retinol dicombo niacinamide: works dan cocok banget di aku mana harganya affordable beut https://t.co/OhoaLnlxD7,retinolnya originote udah all in 1 udah kandungan niacinamidenya retinol dicombo niacinamide: works cocok banget harganya affordable beut https://t.co/OhoaLnlxD7
74,@dairypinkid kak originote kmu shade apa kalo bole tau,@dairypinkid kak originote kmu shade bole
75,@undipmenfess bisa sopi !!! The Originote 32k ajaaa https://t.co/sh2YoPfTkT,@undipmenfess sopi !!! The Originote 32k ajaaa https://t.co/sh2YoPfTkT
76,Sbnrnya kepo abis sma cushion originote tapi masih mikir ntaran aja kali ya terus beli instaperfect,Sbnrnya kepo abis sma cushion originote mikir ntaran kali beli instaperfect
77,@yourwishlist_ ka originote charcoal masih gaa,@yourwishlist_ ka originote charcoal
78,@undipmenfess bisa sopi!!!! The Originote 32k ajaaa https://t.co/7eL5gMNcsa,@undipmenfess sopi!!!! The Originote 32k ajaaa https://t.co/7eL5gMNcsa
79,originote ni pon selalu gak lalu fyp mesra pocket https://t.co/lUqjEocNCY,originote ni pon gak fyp mesra pocket https://t.co/lUqjEocNCY
80,boleh rekomendasiin ke aku cushion yang menurut kamu oke banget itu? the originote baguss minim oksidasi tapi nyari shade yang cocok buat kulit aku agak susah tapi gapapa isinya banyak! https://t.co/P4Pkm27piu,rekomendasiin cushion oke banget itu? originote baguss minim oksidasi nyari shade cocok kulit susah gapapa isinya banyak! https://t.co/P4Pkm27piu
81,@asmloy kak most originote masih avail?,@asmloy kak most originote avail?
82,@lmkiey azarineeee kl mau lebih murah originote juga baguss,@lmkiey azarineeee kl murah originote baguss
83,@ailuroviil @ohmybeautybank coba pake vit C serumnya the originote kak https://t.co/eqVjenK7Oc,@ailuroviil @ohmybeautybank coba pake vit C serumnya originote kak https://t.co/eqVjenK7Oc
84,kaget ada voucher diskon 100k https://t.co/WU1vwKZOhg,kaget voucher diskon 100k https://t.co/WU1vwKZOhg
85,Abis co cushion the originote yang light warm SEMOGA SESUAI YA ALLAH TOLONG BANGET ,Abis co cushion originote light warm SEMOGA SESUAI YA ALLAH TOLONG BANGET
86,@ohmybeautybank Aku kusam dan oily juga udah pernah pake skingame (lama nyerepnya lengket) the originote brightening (malh buat kusam) sama cosrx (buat kusam jg dan malah buat komedoan ) sekarang pake bentonn aloe teksturnya gel jadi ringan gampang nyerepnya dan isinya banyaaak bgt suka ,@ohmybeautybank Aku kusam oily udah pake skingame (lama nyerepnya lengket) originote brightening (malh kusam) cosrx (buat kusam jg komedoan ) pake bentonn aloe teksturnya gel ringan gampang nyerepnya isinya banyaaak bgt suka
87,congrats pemenang saldo 50k untuk 2 orang: @buttrflybelly &amp; @rainiranti_ pemenang di-co-in micellar water the originote: @wandasepta kindly dm me yaa buat claim hadiahnya thankyou and see you in another giveaway~ https://t.co/0VAzBFnWop,congrats pemenang saldo 50k 2 orang: @buttrflybelly &amp; @rainiranti_ pemenang di-co-in micellar water originote: @wandasepta kindly me yaa claim hadiahnya thankyou and see you in another giveaway~ https://t.co/0VAzBFnWop
88,WTS // PRELOVED micellar water the originote 35k nego tipis dom jogja bisa co oren https://t.co/IhWl9jXwr5,WTS // PRELOVED micellar water originote 35k nego tipis dom jogja co oren https://t.co/IhWl9jXwr5
89,Seneng banget beneran mendingan beruntusan gw sejak pake originote kenapa ga dari dulu aja gw pake ini si UDAH GITU JAUH LEBIH MURAH DARI CENTELLA ,Seneng banget beneran mendingan beruntusan gw pake originote gw pake UDAH GITU JAUH LEBIH MURAH DARI CENTELLA
90,Nyobain beli cushion nya the originote semoga gak salah shade ,Nyobain beli cushion originote semoga gak salah shade
91,@ellyyiee_ bisa sopi!!!! The Originote 32k ajaaa https://t.co/JacE7xGg7H,@ellyyiee_ sopi!!!! The Originote 32k ajaaa https://t.co/JacE7xGg7H
92,senin 18 maret 2024 1 paket reseller alhamdulillah https://t.co/dH46CFcePx,senin 18 maret 2024 1 paket reseller alhamdulillah https://t.co/dH46CFcePx
93,originote best sih kenapa baru nyoba moistnya,originote best nyoba moistnya
94,@sekayuniverse gw make originote yg brightening beruntusan MANA MASIH FULL ISINYA ,@sekayuniverse gw make originote brightening beruntusan MANA MASIH FULL ISINYA
95,@icvehyunk Ditutup nya ada tulisan originote nya gak kak,@icvehyunk Ditutup tulisan originote gak kak
96,originote hyalurose micellar water micellar water yg ampuh bgt buat bersihin skincare residu &amp; makeup. gentle &amp; feelsnya bikin kulit kerasa lembab! harganya super affordable &amp; segede gini bisa buat 2 bulan 48k for 300ml - https://t.co/i0YXGjeCiQ https://t.co/MCALRbi0uO,originote hyalurose micellar water micellar water ampuh bgt bersihin skincare residu &amp; makeup. gentle &amp; feelsnya kulit kerasa lembab! harganya super affordable &amp; segede gini 2 48k for 300ml - https://t.co/i0YXGjeCiQ https://t.co/MCALRbi0uO
97,WTS CUSHION THE ORIGINOTE NEW Shade medium nuetral belum dikirim tapi nanti aku kirim kalau udah sampai di aku Nego aja gapapa daripda gak kepake bisa co gratong #zonauang️ #zonajajan https://t.co/Jx5xYzK0iX,WTS CUSHION THE ORIGINOTE NEW Shade medium nuetral dikirim kirim udah Nego gapapa daripda gak kepake co gratong #zonauang️ #zonajajan https://t.co/Jx5xYzK0iX
98,@versusvani @ohmybeautybank The originote emang cakep banget sih cuman gue bingung kenapa warna serumnya cepet banget berubah ya ,@versusvani @ohmybeautybank The originote emang cakep banget cuman gue bingung warna serumnya cepet banget berubah
99,Eyelash serum mending originote atau lashboss ya...,Eyelash serum mending originote lashboss ya...
100,loakjends! sunscreen originote baru sekali pemakaian 35k nego tipis bolehh https://t.co/CcnagOsenY,loakjends! sunscreen originote pemakaian 35k nego tipis bolehh https://t.co/CcnagOsenY
101,The originote moisturizer cuma 32rb combo kode BEKENMUT10 https://t.co/7e0TGSe6X3 Berlaku jg u seluruh produk THE ORIGINOTE Minbel 40 diskon 10 https://t.co/yqouUOi0DY https://t.co/ce7Q9bw6HK,The originote moisturizer 32rb combo kode BEKENMUT10 https://t.co/7e0TGSe6X3 Berlaku jg produk THE ORIGINOTE Minbel 40 diskon 10 https://t.co/yqouUOi0DY https://t.co/ce7Q9bw6HK
102,@oOdis___ @ohmybeautybank Kak mau tanya setelah exfo pke avoskin boleh ga kalo moisnya pake originote yg hijau? https://t.co/FEXXMX4UBZ,@oOdis___ @ohmybeautybank Kak exfo pke avoskin moisnya pake originote hijau? https://t.co/FEXXMX4UBZ
103,-selldips! abisin stok yu guyss. micellar water originote sama facetology masing2 sisa 1pcs. only 45k/pcs ajaaaaa yu yg mau reppp https://t.co/ELnwtCmIy2,-selldips! abisin stok yu guyss. micellar water originote facetology masing2 sisa 1pcs. only 45k/pcs ajaaaaa yu reppp https://t.co/ELnwtCmIy2
104,ngapus maskara bnb pake apaa yaa?? pake micellar water originote gabisaa masaa ,ngapus maskara bnb pake apaa yaa?? pake micellar water originote gabisaa masaa
105,@ohmybeautybank originote sih https://t.co/feEbsjU6nP,@ohmybeautybank originote https://t.co/feEbsjU6nP
106,Wts semuanya msii pda penuh penuh krna bru dipakai beberapa kalii dan msi pda bersih yaa kecuali yg ss the originote packaging nya aj yg uda agak buluk #prelovedskincare #prelovedskintific #wtstheoriginote #wtshadalabo https://t.co/TcLgTf9x6I,Wts msii pda penuh penuh krna bru dipakai kalii msi pda bersih yaa kecuali originote packaging aj uda buluk #prelovedskincare #prelovedskintific #wtstheoriginote #wtshadalabo https://t.co/TcLgTf9x6I
107,@lullwabies Ak sekarang pake ini tapi tetiba mau nyoba yg originote,@lullwabies Ak pake tetiba nyoba originote
108,Cek The Originote Day-C Night-A Bundle 2pcs - Hyalu-C Serum dan Retinol Serum dengan harga Rp75.000. Dapatkan di Shopee sekarang! https://t.co/sNatFXp8h7 #ShopeeID https://t.co/0ffGo4F0dY,Cek The Originote Day-C Night-A Bundle 2pcs - Hyalu-C Serum Retinol Serum harga Rp75.000. Dapatkan Shopee sekarang! https://t.co/sNatFXp8h7 #ShopeeID https://t.co/0ffGo4F0dY
109,THE ORIGINOTE TERLIHAT MENJANJIKAN AJHH BESOK ABIS KEBARAN BELI DEH,THE ORIGINOTE TERLIHAT MENJANJIKAN AJHH BESOK ABIS KEBARAN BELI DEH
110,@jahedikupas dari ekspedisi apa pengemasan? aku juga mau co the originote,@jahedikupas ekspedisi pengemasan? co originote
111,@mldyarhmaaa Originote moiz nya masih ada gaa kak,@mldyarhmaaa Originote moiz kak
112,@unnesmenfess Originote nya masih ga nder?,@unnesmenfess Originote nder?
113,@formyluvy Katanya sih ada yang pake originote itu,@formyluvy Katanya pake originote
114,@2ndmelati titip ini ka https://t.co/O3V24iSoVi,@2ndmelati titip ka https://t.co/O3V24iSoVi
115,@cryingbubbies ka klo boleh tau km pake cushion the originote yg shade apa,@cryingbubbies ka km pake cushion originote shade
